ID,Attrition,Degree_Type,Achieved_Credit_Points,Attendance_Type,Age,Failed_Credit_Points,International_student,First_in_family,Gender,GPA,OP_Score,Socio_Economic_Status,Teaching_Period_Admitted,Faculty
n120810,Retained,Single,156,Full Time,20,0,No,Yes,F,5,9,Medium,SEM-1,CI Faculty
n120833,Retained,Single,48,Full Time,21,0,No,No,M,4.76,17,Medium,SEM-2,QUT Business School
n120953,Retained,Single,96,Full Time,26,0,No,No,M,0,13,Medium,SEM-1,Faculty of Health
n121259,Retained,Single,36,Full Time,19,36,Yes,No,M,3.68,14,Medium,SEM-1,Sci and Eng Faculty
n121467,Retained,Double,72,Full Time,20,24,No,Yes,M,4.37,7,Medium,SEM-1,Sci and Eng Faculty
n121958,Retained,Single,180,Full Time,21,0,No,No,M,4.69,9,High,SEM-1,QUT Business School
n122225,Retained,Single,72,Full Time,21,12,No,No,F,4.68,23,Low,SEM-1,Faculty of Health
n122582,Retained,Single,84,Full Time,21,0,No,Yes,F,4.71,3,Medium,SEM-1,Faculty of Law
n122708,Retained,Single,96,Full Time,20,0,No,No,M,4.33,11,High,SEM-1,Faculty of Education
n122836,Not Retained,Single,96,Full Time,19,0,No,No,M,4.26,9,High,SEM-1,Faculty of Health
n122963,Retained,Single,84,Full Time,20,12,No,No,F,4.51,11,High,SEM-1,Faculty of Education
n123295,Retained,Single,96,Full Time,22,0,No,No,F,4.74,10,High,SEM-1,Faculty of Education
n124993,Retained,Single,132,Full Time,20,36,No,No,M,3.69,19,Medium,SEM-1,Sci and Eng Faculty
n125519,Retained,Double,96,Full Time,19,0,No,Yes,M,6.23,2,Low,SEM-2,Sci and Eng Faculty
n125558,Retained,Double,72,Full Time,19,24,No,Yes,M,4.15,5,Medium,SEM-1,Sci and Eng Faculty
n125617,Retained,Single,96,Full Time,19,0,No,Yes,F,5.24,9,High,SEM-1,Sci and Eng Faculty
n125739,Retained,Single,96,Full Time,19,0,No,No,F,5,9,Medium,SEM-1,CI Faculty
n125803,Retained,Single,264,Part Time,27,0,No,No,F,4.64,13,Low,SEM-1,Faculty of Law
n126401,Retained,Double,72,Full Time,19,36,No,Yes,F,3.77,9,Low,SEM-1,Sci and Eng Faculty
n126514,Retained,Single,48,Full Time,24,24,No,No,M,4.02,8,High,SEM-1,QUT Business School
n126606,Not Retained,Single,48,Full Time,19,0,No,No,F,6.48,2,Medium,SEM-1,Faculty of Health
n126880,Retained,Single,96,Full Time,19,0,No,Yes,M,5.75,4,Medium,SEM-1,CI Faculty
n127045,Retained,Single,108,Full Time,21,0,No,Yes,M,5.25,9,High,SEM-1,Faculty of Health
n127810,Not Retained,Single,48,Full Time,24,0,No,No,F,6.24,7,Medium,SEM-1,Faculty of Health
n128053,Retained,Single,96,Full Time,20,0,No,No,M,6.38,3,Medium,SEM-1,Sci and Eng Faculty
n128362,Retained,Single,96,Full Time,26,0,No,Yes,M,4.77,16,Medium,SEM-1,Sci and Eng Faculty
n128453,Retained,Single,72,Full Time,21,24,No,No,M,4.48,9,Medium,SEM-1,Sci and Eng Faculty
n129028,Retained,Single,120,Part Time,25,0,No,No,F,6.02,20,Medium,SEM-1,Faculty of Health
n129239,Retained,Single,96,Full Time,19,0,No,No,M,5.75,8,Medium,SEM-1,Sci and Eng Faculty
n129443,Retained,Single,144,Full Time,22,0,No,No,M,4.91,7,High,SEM-1,QUT Business School
n129540,Retained,Single,60,Full Time,20,12,No,No,F,4.66,10,High,SEM-1,CI Faculty
n129676,Retained,Single,84,Full Time,19,12,No,Yes,M,3.88,8,Low,SEM-1,Faculty of Health
n129936,Retained,Single,180,Full Time,20,0,No,Yes,M,6.42,21,Medium,SEM-1,Sci and Eng Faculty
n130488,Retained,Single,96,Full Time,26,0,No,Yes,F,5.52,23,Low,SEM-1,CI Faculty
n130908,Retained,Single,120,Full Time,21,0,No,No,M,4.67,11,Medium,SEM-1,Faculty of Health
n131222,Retained,Single,60,Full Time,19,36,No,No,M,4,13,Medium,SEM-1,CI Faculty
n131554,Retained,Single,144,Part Time,35,0,No,No,F,5.67,9,Medium,SEM-2,Faculty of Health
n132021,Retained,Single,96,Full Time,20,0,No,No,M,5.13,7,Medium,SEM-1,Sci and Eng Faculty
n132042,Retained,Single,48,Full Time,20,0,No,No,F,4.5,23,Medium,SEM-2,Faculty of Law
n132210,Retained,Single,96,Full Time,20,0,No,No,F,5.76,4,Medium,SEM-1,Faculty of Education
n132486,Retained,Single,0,Full Time,24,24,No,Yes,F,0.99,7,Low,SEM-1,QUT Business School
n132669,Retained,Single,24,Part Time,31,0,No,No,M,6.5,1,Medium,SEM-1,Faculty of Health
n132771,Not Retained,Single,96,Full Time,22,12,Yes,No,M,4.03,19,Medium,SEM-1,QUT Business School
n132825,Not Retained,Single,48,Full Time,21,0,No,Yes,F,4.26,12,Medium,SEM-1,QUT Business School
n132902,Retained,Double,96,Full Time,20,0,No,No,M,5.76,5,Low,SEM-1,Sci and Eng Faculty
n133380,Retained,Double,156,Full Time,20,36,No,Yes,M,4.13,12,Medium,SEM-1,Sci and Eng Faculty
n133394,Not Retained,Single,0,Full Time,20,48,No,Yes,F,0.99,9,Low,SEM-1,CI Faculty
n133443,Retained,Single,0,Full Time,24,72,No,Yes,M,1.34,24,High,SEM-1,CI Faculty
n134146,Retained,Single,96,Full Time,21,0,Yes,No,F,5.87,1,Medium,SEM-1,CI Faculty
n134346,Retained,Single,144,Full Time,32,0,No,No,M,5.76,23,Medium,SEM-2,Faculty of Health
n134419,Not Retained,Single,72,Full Time,20,0,No,No,F,6.83,3,Medium,SEM-1,Faculty of Health
n134494,Retained,Single,96,Full Time,20,0,No,No,F,4.72,7,High,SEM-1,Faculty of Health
n134554,Retained,Single,96,Full Time,19,0,No,No,M,4.99,7,Low,SEM-1,Faculty of Health
n134679,Retained,Single,0,Full Time,23,72,No,Yes,M,0.99,16,Low,SEM-1,Sci and Eng Faculty
n134745,Retained,Single,144,Full Time,20,0,Yes,No,M,4.74,15,High,SEM-2,QUT Business School
n134801,Not Retained,Single,120,Part Time,33,0,No,No,M,6.53,3,High,SEM-1,Faculty of Law
n134835,Retained,Single,84,Full Time,20,12,Yes,No,M,4.43,15,Medium,SEM-1,Faculty of Health
n135638,Retained,Single,180,Full Time,21,0,No,No,M,5.74,9,Medium,SEM-1,Sci and Eng Faculty
n135830,Retained,Single,252,Part Time,23,0,No,Yes,F,4.6,7,High,SEM-2,Faculty of Law
n135832,Retained,Single,240,Full Time,25,12,Yes,No,M,4.23,8,Medium,SEM-1,QUT Business School
n135869,Not Retained,Double,24,Full Time,30,48,No,No,F,2.49,2,Medium,SEM-1,Faculty of Health
n135896,Retained,Single,156,Full Time,22,12,No,No,M,5.44,6,Medium,SEM-1,Sci and Eng Faculty
n136157,Not Retained,Single,48,Full Time,22,48,No,Yes,M,1.01,9,Medium,SEM-1,QUT Business School
n136213,Retained,Single,96,Full Time,20,0,Yes,No,F,5.37,25,Low,SEM-1,CI Faculty
n136287,Retained,Single,96,Full Time,19,0,No,No,F,6.97,2,Medium,SEM-1,Faculty of Health
n136480,Retained,Single,144,Full Time,22,0,No,No,M,5.76,16,High,SEM-2,Sci and Eng Faculty
n136911,Retained,Single,168,Full Time,25,0,No,Yes,M,5.87,4,Low,SEM-1,Sci and Eng Faculty
n137250,Not Retained,Single,0,Full Time,20,48,No,No,F,1.26,4,Medium,SEM-1,Sci and Eng Faculty
n137517,Retained,Single,180,Full Time,19,0,No,Yes,F,5.07,13,Medium,SEM-1,QUT Business School
n137855,Not Retained,Single,24,Full Time,19,0,No,No,F,5.51,3,Low,SEM-1,Sci and Eng Faculty
n138623,Not Retained,Single,0,Full Time,19,48,No,Yes,M,1,12,Low,SEM-2,Sci and Eng Faculty
n138920,Retained,Single,192,Full Time,23,0,Yes,No,M,4.7,18,High,SEM-1,CI Faculty
n138993,Retained,Single,132,Full Time,22,12,Yes,No,M,4.5,9,High,SEM-2,Sci and Eng Faculty
n139093,Retained,Single,96,Full Time,19,0,Yes,No,F,4.75,9,Medium,SEM-1,Faculty of Health
n139272,Retained,Single,144,Full Time,22,0,No,Yes,F,4.92,11,Low,SEM-1,CI Faculty
n139295,Retained,Single,72,Full Time,24,12,No,No,M,4.42,17,High,SEM-1,QUT Business School
n139557,Retained,Single,144,Full Time,20,0,No,No,M,5.01,19,Low,SEM-2,Faculty of Law
n139675,Retained,Single,108,Full Time,46,0,No,Yes,M,6,11,Medium,SEM-2,Sci and Eng Faculty
n139956,Retained,Single,0,Part Time,19,0,No,Yes,F,0.02,10,Medium,SEM-1,QUT Business School
n140085,Not Retained,Single,96,Full Time,19,0,No,No,F,4.74,11,Low,SEM-1,Faculty of Education
n140519,Retained,Single,96,Full Time,22,0,No,No,M,5.69,7,High,SEM-1,Faculty of Health
n140564,Not Retained,Single,48,Full Time,19,48,No,No,M,3.64,4,Low,SEM-1,Faculty of Health
n140962,Retained,Single,96,Full Time,19,0,No,No,F,6.99,1,Medium,SEM-1,QUT Business School
n140968,Retained,Single,84,Full Time,19,0,No,No,F,5.01,11,Medium,SEM-1,CI Faculty
n141070,Retained,Single,132,Full Time,22,12,Yes,No,M,4.51,9,High,SEM-2,Sci and Eng Faculty
n141413,Not Retained,Single,120,Full Time,22,0,No,No,M,4.72,5,Low,SEM-1,Sci and Eng Faculty
n141563,Retained,Single,36,Full Time,31,0,No,Yes,M,7,16,High,SEM-2,Faculty of Health
n141967,Retained,Single,132,Full Time,24,0,No,Yes,F,7,12,Medium,SEM-2,Faculty of Health
n142872,Retained,Single,96,Full Time,19,0,No,Yes,F,5.37,8,Medium,SEM-1,Sci and Eng Faculty
n142895,Retained,Single,24,Full Time,19,24,No,No,M,2.78,18,Medium,SEM-2,CI Faculty
n144340,Retained,Single,84,Full Time,23,12,No,Yes,M,4.88,13,Medium,SEM-1,Faculty of Law
n144354,Retained,Single,96,Full Time,19,0,No,Yes,M,6.24,8,Medium,SEM-1,Sci and Eng Faculty
n144481,Retained,Single,24,Part Time,22,0,No,No,M,4.51,20,High,SEM-2,QUT Business School
n144933,Retained,Single,96,Full Time,19,0,No,No,F,5.38,8,High,SEM-1,CI Faculty
n145149,Not Retained,Single,24,Full Time,19,60,No,No,F,2.29,17,Medium,SEM-1,Faculty of Health
n145349,Retained,Single,96,Full Time,20,0,No,No,F,6.51,4,Medium,SEM-1,Faculty of Education
n145745,Retained,Single,120,Full Time,23,36,No,Yes,M,3.86,10,Medium,SEM-1,Sci and Eng Faculty
n145831,Retained,Double,216,Full Time,21,0,No,No,F,5.64,24,Medium,SEM-1,Faculty of Health
n146284,Retained,Single,168,Part Time,22,0,Yes,No,F,6.51,23,Medium,SEM-2,QUT Business School
n146489,Retained,Single,144,Full Time,25,0,Yes,No,M,5.02,5,Medium,SEM-2,QUT Business School
n146568,Retained,Double,96,Full Time,19,0,No,No,M,6.27,5,Medium,SEM-1,Sci and Eng Faculty
n146959,Retained,Single,96,Full Time,19,0,No,Yes,F,5.52,13,Medium,SEM-1,CI Faculty
n147149,Retained,Single,96,Full Time,18,0,No,No,M,6.13,2,Medium,SEM-1,CI Faculty
n147189,Retained,Single,228,Full Time,24,0,Yes,No,F,4.61,22,High,SEM-1,QUT Business School
n147639,Not Retained,Single,0,Part Time,23,0,No,No,M,0,6,High,SEM-2,Sci and Eng Faculty
n147787,Retained,Single,0,Full Time,25,0,No,Yes,F,0,7,Low,SEM-1,QUT Business School
n148177,Not Retained,Single,60,Full Time,26,0,No,No,M,6,18,High,SEM-1,Sci and Eng Faculty
n148553,Retained,Double,96,Full Time,19,0,No,No,M,5.64,2,Low,SEM-1,Sci and Eng Faculty
n148586,Retained,Single,96,Full Time,19,0,No,No,M,5.88,7,Medium,SEM-1,QUT Business School
n148795,Retained,Single,96,Full Time,19,0,No,No,M,4.89,16,Medium,SEM-1,Faculty of Education
n149118,Retained,Single,72,Full Time,19,24,No,No,M,3.88,13,High,SEM-1,QUT Business School
n149411,Retained,Single,144,Full Time,21,0,No,No,F,4.89,8,Medium,SEM-2,QUT Business School
n149734,Retained,Single,156,Full Time,23,0,No,Yes,F,5.14,2,Low,SEM-1,CI Faculty
n150024,Retained,Single,96,Full Time,20,0,No,Yes,F,6.65,19,Low,SEM-1,Faculty of Health
n150075,Retained,Single,276,Full Time,33,0,No,Yes,M,5.66,24,High,SEM-1,Sci and Eng Faculty
n150101,Retained,Single,288,Full Time,26,0,No,No,F,4.21,23,Medium,SEM-2,Faculty of Education
n150139,Not Retained,Single,48,Full Time,19,0,No,No,M,3.97,12,Medium,SEM-1,Faculty of Law
n150238,Retained,Single,60,Part Time,21,0,No,No,F,5,10,Medium,SEM-1,QUT Business School
n150811,Retained,Single,96,Full Time,19,0,No,No,F,5.01,5,Medium,SEM-1,CI Faculty
n151161,Retained,Single,96,Full Time,19,0,No,No,F,5.99,4,High,SEM-1,CI Faculty
n151752,Retained,Single,108,Full Time,19,0,No,No,M,5.38,6,High,SEM-1,Faculty of Health
n151975,Retained,Single,108,Full Time,20,0,No,No,F,5.67,8,Low,SEM-1,CI Faculty
n152034,Retained,Single,96,Full Time,19,0,No,Yes,F,5.88,8,Medium,SEM-1,CI Faculty
n152228,Retained,Single,96,Full Time,19,0,Yes,No,F,5.62,10,Medium,SEM-1,CI Faculty
n152343,Retained,Single,96,Full Time,18,0,No,Yes,M,5.64,1,Low,SEM-1,CI Faculty
n152362,Retained,Single,168,Full Time,20,0,No,Yes,M,3.98,9,Low,SEM-1,QUT Business School
n152961,Retained,Single,48,Part Time,56,0,No,Yes,M,5.76,12,High,SEM-2,QUT Business School
n153820,Retained,Single,216,Full Time,26,36,No,Yes,M,4.56,18,Low,SEM-1,QUT Business School
n155026,Retained,Single,96,Full Time,20,0,No,Yes,F,6,2,Medium,SEM-2,Faculty of Law
n155059,Retained,Single,132,Full Time,21,12,No,Yes,F,4.63,9,Medium,SEM-1,Faculty of Education
n155647,Not Retained,Single,12,Full Time,21,84,No,No,M,1.57,3,High,SEM-1,Sci and Eng Faculty
n156013,Retained,Single,144,Full Time,20,0,Yes,No,M,5.14,8,Low,SEM-2,CI Faculty
n156129,Retained,Single,12,Full Time,19,24,No,No,F,2.68,9,Medium,SEM-1,CI Faculty
n156461,Retained,Single,180,Full Time,31,0,No,No,M,6.02,24,Medium,SEM-1,Sci and Eng Faculty
n156492,Retained,Single,168,Full Time,28,0,No,No,M,4.87,10,Medium,SEM-1,Faculty of Education
n157062,Retained,Single,36,Full Time,20,36,No,No,M,3.68,6,Medium,SEM-1,Faculty of Education
n157562,Retained,Single,96,Full Time,19,0,No,Yes,F,6.62,1,Low,SEM-1,Faculty of Health
n157978,Retained,Double,192,Full Time,22,0,No,No,F,4.76,3,Medium,SEM-2,Faculty of Law
n159628,Retained,Single,96,Full Time,20,0,No,Yes,M,5.13,8,Low,SEM-1,Faculty of Health
n160010,Not Retained,Single,84,Full Time,19,12,No,No,M,4.89,9,Medium,SEM-1,Faculty of Health
n160233,Retained,Double,96,Full Time,20,0,No,Yes,F,5.12,11,High,SEM-1,Faculty of Health
n160292,Retained,Single,96,Full Time,22,0,No,No,M,4.72,14,Low,SEM-1,Faculty of Health
n160321,Retained,Single,0,Full Time,19,0,Yes,No,F,-0,10,Medium,SEM-1,CI Faculty
n160622,Not Retained,Single,96,Full Time,20,0,No,Yes,F,5.99,2,High,SEM-1,Sci and Eng Faculty
n160940,Retained,Single,24,Part Time,20,12,No,Yes,M,3.32,3,Medium,SEM-1,Sci and Eng Faculty
n161050,Not Retained,Single,36,Full Time,20,12,No,No,F,3.97,25,Medium,SEM-1,CI Faculty
n161155,Not Retained,Single,0,Full Time,20,24,No,No,M,3,23,High,SEM-2,Sci and Eng Faculty
n161561,Retained,Single,84,Full Time,23,12,Yes,No,F,4.73,13,Medium,SEM-1,Faculty of Health
n161961,Retained,Single,96,Full Time,29,0,No,Yes,M,5.87,10,High,SEM-1,Sci and Eng Faculty
n161981,Retained,Single,192,Full Time,23,0,Yes,No,M,5.48,7,Medium,SEM-1,Sci and Eng Faculty
n162102,Retained,Single,96,Full Time,20,0,No,No,M,6.38,4,Low,SEM-1,CI Faculty
n162359,Retained,Single,144,Full Time,22,48,Yes,No,M,2.99,7,Low,SEM-1,Sci and Eng Faculty
n163026,Retained,Single,108,Full Time,20,0,No,No,F,6.01,5,Medium,SEM-1,CI Faculty
n163306,Retained,Single,132,Part Time,20,0,No,No,M,5.09,10,High,SEM-1,Sci and Eng Faculty
n163544,Not Retained,Single,108,Full Time,21,12,No,No,M,4.02,5,High,SEM-1,Faculty of Health
n164112,Retained,Single,96,Full Time,20,0,No,No,F,5,11,Medium,SEM-1,Faculty of Health
n166061,Retained,Single,168,Full Time,28,0,No,No,M,4.85,10,Medium,SEM-1,Faculty of Education
n166111,Retained,Single,96,Full Time,19,0,No,No,F,6.64,7,Medium,SEM-1,CI Faculty
n167198,Not Retained,Single,96,Full Time,19,0,No,Yes,F,5.52,4,Medium,SEM-1,Faculty of Health
n167331,Retained,Single,84,Full Time,19,12,No,Yes,M,3.99,8,Medium,SEM-1,QUT Business School
n167438,Not Retained,Single,12,Full Time,19,84,No,No,M,1.88,18,Medium,SEM-1,Sci and Eng Faculty
n167859,Retained,Single,96,Full Time,19,0,No,No,F,4.85,8,Medium,SEM-1,Faculty of Health
n167878,Not Retained,Single,48,Full Time,19,0,Yes,Yes,F,5.74,9,High,SEM-1,CI Faculty
n169167,Retained,Single,72,Part Time,19,0,No,Yes,F,5.01,11,Low,SEM-1,CI Faculty
n169431,Retained,Single,144,Full Time,21,0,Yes,No,F,4.5,8,Medium,SEM-2,QUT Business School
n169666,Retained,Double,96,Full Time,19,0,No,Yes,M,6.12,10,Low,SEM-1,Sci and Eng Faculty
n170086,Retained,Single,72,Full Time,20,24,No,No,M,4.49,23,Medium,SEM-1,Faculty of Health
n170389,Not Retained,Single,0,Part Time,27,0,No,Yes,F,0.01,5,Medium,SEM-1,Sci and Eng Faculty
n170828,Retained,Single,144,Full Time,21,36,No,No,M,3.71,25,High,SEM-1,QUT Business School
n170986,Not Retained,Single,60,Full Time,21,0,No,Yes,F,5.61,3,Medium,SEM-2,QUT Business School
n171640,Retained,Single,144,Full Time,20,0,No,No,M,6,5,Medium,SEM-2,Sci and Eng Faculty
n172587,Not Retained,Single,0,Full Time,19,0,No,Yes,M,0,13,Low,SEM-1,CI Faculty
n172609,Retained,Single,192,Full Time,21,0,No,No,M,3.99,25,Medium,SEM-1,Faculty of Health
n172670,Retained,Single,192,Full Time,24,12,Yes,No,M,4.44,7,High,SEM-1,QUT Business School
n172996,Retained,Single,180,Full Time,22,0,Yes,No,F,4.79,11,High,SEM-2,CI Faculty
n173156,Retained,Single,0,Full Time,22,0,No,No,M,0.01,16,High,SEM-1,Faculty of Health
n173157,Retained,Single,96,Full Time,29,0,No,Yes,M,5,13,Low,SEM-1,Faculty of Law
n173220,Retained,Single,96,Full Time,20,0,No,No,F,4.63,10,Medium,SEM-1,Faculty of Law
n174659,Retained,Single,192,Full Time,21,0,Yes,No,M,6.33,21,Medium,SEM-1,Faculty of Health
n174700,Not Retained,Single,24,Full Time,20,12,No,Yes,F,3.35,8,Medium,SEM-2,CI Faculty
n174892,Retained,Single,96,Full Time,19,0,No,No,F,6.74,1,Medium,SEM-1,Faculty of Health
n175008,Retained,Single,96,Full Time,20,0,No,No,M,6.27,9,High,SEM-1,Sci and Eng Faculty
n175118,Not Retained,Single,48,Full Time,25,0,No,No,F,4.99,25,Medium,SEM-1,CI Faculty
n175349,Retained,Single,144,Full Time,22,0,Yes,No,F,4.27,14,Low,SEM-1,QUT Business School
n175735,Not Retained,Single,180,Full Time,41,0,No,Yes,M,6.15,9,High,SEM-2,Sci and Eng Faculty
n176471,Retained,Single,168,Full Time,20,0,No,Yes,F,5.07,10,Medium,SEM-1,Faculty of Health
